acc,prec,rec,f1,modelo,condicao
1.0,1.0,1.0,1.0,efficientnetb0,base
1.0,1.0,1.0,1.0,efficientnetb0,eq
0.9978118161925602,1.0,0.9956236323851203,0.9978070175438597,mobilenetv2,base
0.9956236323851203,0.9956236323851203,0.9956236323851203,0.9956236323851203,mobilenetv2,eq
0.9967177242888403,0.9956331877729258,0.9978118161925602,0.9967213114754099,resnet18,base
0.9956236323851203,0.9978021978021978,0.9934354485776805,0.9956140350877193,resnet18,eq
1.0,1.0,1.0,1.0,resnet34,base
0.9978118161925602,0.9978118161925602,0.9978118161925602,0.9978118161925602,resnet34,eq
0.9978118161925602,0.9978118161925602,0.9978118161925602,0.9978118161925602,resnet50,base
0.9934354485776805,0.9870410367170627,1.0,0.9934782608695653,resnet50,eq
